Name,Latitude,Longitude,Start.time,End.time
R00,51.62243,-124.14305,2014-04-22T21:14:16Z,2014-05-03T11:53:44Z
R00,51.62243,-124.14304,2014-05-03T12:11:01Z,2014-05-16T10:19:22Z
R00,51.62242,-124.14303,2014-05-16T10:59:53Z,2014-05-20T18:43:06Z
R01,51.62541,-124.14233,2014-04-19T20:46:53Z,2014-05-03T11:53:44Z
R01,51.62542,-124.14237,2014-05-03T12:11:01Z,2014-05-20T22:39:42Z
R02,51.6248,-124.14298,2014-04-19T20:41:38Z,2014-05-03T11:53:44Z
R02,51.6248,-124.143,2014-05-03T12:11:01Z,2014-05-20T22:36:36Z
R03,51.62458,-124.14203,2014-04-19T20:34:59Z,2014-05-03T11:53:44Z
R03,51.62459,-124.14205,2014-05-03T12:11:01Z,2014-05-20T22:32:37Z
R04,51.62418,-124.14317,2014-04-19T20:30:11Z,2014-05-03T11:53:44Z
R04,51.62418,-124.14319,2014-05-03T12:11:01Z,2014-05-20T22:29:14Z
R05,51.62363,-124.1424,2014-04-19T20:25:58Z,2014-05-03T11:53:44Z
R05,51.62363,-124.14241,2014-05-03T12:11:01Z,2014-05-20T22:25:39Z
R06,51.62316,-124.143,2014-04-19T20:12:42Z,2014-05-03T11:53:44Z
R06,51.62316,-124.14302,2014-05-03T12:11:01Z,2014-05-20T22:05:56Z
R07,51.62275,-124.14183,2014-04-19T20:20:02Z,2014-05-03T11:53:44Z
R07,51.62276,-124.14183,2014-05-03T12:11:01Z,2014-05-05T23:12:24Z
R08,51.62222,-124.14223,2014-04-19T19:22:14Z,2014-05-03T11:53:44Z
R08,51.62223,-124.14221,2014-05-03T12:11:01Z,2014-05-16T10:19:22Z
R08,51.62224,-124.1422,2014-05-16T10:59:53Z,2014-05-20T18:49:53Z
R09,51.62163,-124.14469,2014-04-19T18:27:53Z,2014-05-03T11:53:44Z
R09,51.62162,-124.14469,2014-05-03T12:11:01Z,2014-05-20T18:38:24Z
R10,51.6214,-124.14334,2014-04-18T23:23:37Z,2014-05-03T11:53:44Z
R10,51.6214,-124.14334,2014-05-03T12:11:01Z,2014-05-16T10:19:22Z
R10,51.62139,-124.14334,2014-05-16T10:59:53Z,2014-05-20T21:57:46Z
R11,51.62119,-124.14588,2014-04-19T18:19:37Z,2014-05-03T11:53:44Z
R11,51.62117,-124.14588,2014-05-03T12:11:01Z,2014-05-20T18:34:40Z
R12,51.62066,-124.14514,2014-04-18T23:17:47Z,2014-04-29T12:42:48Z
R12,51.62066,-124.14514,2014-04-29T13:55:34Z,2014-05-03T11:53:44Z
R12,51.62065,-124.14513,2014-05-03T12:11:01Z,2014-05-20T21:50:07Z
R13,51.62046,-124.14702,2014-04-19T18:11:53Z,2014-05-03T11:53:44Z
R13,51.62043,-124.147,2014-05-03T12:11:01Z,2014-05-20T18:31:02Z
R14,51.61993,-124.14579,2014-04-18T23:11:37Z,2014-05-03T11:53:44Z
R14,51.61992,-124.14574,2014-05-03T12:11:01Z,2014-05-20T21:46:01Z
R15,51.6195,-124.14745,2014-04-19T18:03:15Z,2014-04-29T12:42:48Z
R15,51.61949,-124.14744,2014-04-29T13:55:34Z,2014-05-03T11:53:44Z
R15,51.61949,-124.14738,2014-05-03T12:11:01Z,2014-05-20T18:27:44Z
R16,51.61898,-124.14674,2014-04-18T23:05:42Z,2014-05-03T11:53:44Z
R16,51.61897,-124.14673,2014-05-03T12:11:01Z,2014-05-20T21:39:31Z
R17,51.61882,-124.1487,2014-04-19T17:50:37Z,2014-05-03T11:53:44Z
R17,51.61883,-124.14869,2014-05-03T12:11:01Z,2014-05-20T18:24:04Z
R18,51.61808,-124.14747,2014-04-18T22:55:11Z,2014-05-03T11:53:44Z
R18,51.61808,-124.14744,2014-05-03T12:11:01Z,2014-05-20T21:32:09Z
R19,51.61788,-124.14985,2014-04-18T20:32:07Z,2014-05-03T11:53:44Z
R19,51.61789,-124.14984,2014-05-03T12:11:01Z,2014-05-20T18:12:01Z
R20,51.61723,-124.14822,2014-04-18T21:30:11Z,2014-05-03T11:53:44Z
R20,51.61722,-124.1482,2014-05-03T12:11:01Z,2014-05-20T21:22:00Z
R21,51.61671,-124.152,2014-04-18T20:57:16Z,2014-05-03T11:53:44Z
R21,51.61673,-124.15201,2014-05-03T12:11:01Z,2014-05-20T18:05:18Z
R22,51.6162,-124.14995,2014-04-18T20:46:09Z,2014-05-03T11:53:44Z
R22,51.61624,-124.15,2014-05-03T12:11:01Z,2014-05-20T20:44:14Z
R24,51.6147,-124.15125,2014-04-18T18:41:53Z,2014-05-03T11:53:44Z
R24,51.61471,-124.15123,2014-05-03T12:11:01Z,2014-05-20T17:30:03Z
R25,51.61329,-124.1485,2014-04-18T18:53:23Z,2014-05-03T11:53:44Z
R25,51.61329,-124.14852,2014-05-03T12:11:01Z,2014-05-20T17:38:10Z
R26,51.61349,-124.15213,2014-04-18T19:15:59Z,2014-05-03T11:53:44Z
R26,51.6135,-124.15216,2014-05-03T12:11:01Z,2014-05-20T17:54:43Z
R27,51.61499,-124.14692,2014-04-18T21:55:30Z,2014-05-03T11:53:44Z
R27,51.61499,-124.14694,2014-05-03T12:11:01Z,2014-05-20T20:34:13Z
R28,51.61557,-124.14476,2014-04-18T22:13:39Z,2014-05-03T11:53:44Z
R28,51.61557,-124.14478,2014-05-03T12:11:01Z,2014-05-20T20:30:00Z
R29,51.61686,-124.14608,2014-04-22T17:53:39Z,2014-05-03T11:53:44Z
R29,51.61685,-124.14611,2014-05-03T12:11:01Z,2014-05-20T20:12:12Z
R30,51.61761,-124.14404,2014-04-18T22:33:17Z,2014-05-03T11:53:44Z
R30,51.61762,-124.14409,2014-05-03T12:11:01Z,2014-05-15T14:31:06Z
R30,51.61762,-124.14409,2014-05-15T15:11:36Z,2014-05-20T19:58:43Z
R31,51.61965,-124.14287,2014-04-22T18:13:13Z,2014-05-03T11:53:44Z
R31,51.61963,-124.14283,2014-05-03T12:11:01Z,2014-05-15T14:31:06Z
R31,51.61964,-124.14284,2014-05-15T15:11:36Z,2014-05-20T19:29:04Z
R32,51.62015,-124.14241,2014-04-19T19:41:04Z,2014-05-03T11:53:44Z
R32,51.62012,-124.14235,2014-05-03T12:11:01Z,2014-05-08T17:19:46Z
R32,51.62009,-124.14231,2014-05-08T18:43:10Z,2014-05-15T14:31:06Z
R32,51.62014,-124.14228,2014-05-15T15:11:36Z,2014-05-20T19:03:39Z
R33,51.62148,-124.14141,2014-04-19T20:03:20Z,2014-05-03T11:53:44Z
R33,51.6215,-124.14137,2014-05-03T12:11:01Z,2014-05-08T17:19:46Z
R33,51.62146,-124.14146,2014-05-08T18:43:10Z,2014-05-20T18:56:17Z
R34,51.62567,-124.14186,2014-04-17T23:34:23Z,2014-05-03T11:53:44Z
R34,51.62567,-124.14188,2014-05-03T12:11:01Z,2014-05-20T22:42:04Z
R35,51.62639,-124.14161,2014-04-17T23:43:27Z,2014-05-03T11:53:44Z
R35,51.62639,-124.14162,2014-05-03T12:11:01Z,2014-05-20T22:45:08Z
R36,51.62644,-124.14251,2014-04-17T23:49:59Z,2014-05-03T11:53:44Z
R36,51.62644,-124.14252,2014-05-03T12:11:01Z,2014-05-20T22:52:59Z
R37,51.62578,-124.14269,2014-04-17T23:58:29Z,2014-05-03T11:53:44Z
R37,51.62579,-124.14272,2014-05-03T12:11:01Z,2014-05-20T22:59:24Z
R38,51.61875,-124.14375,2014-05-07T00:14:59Z,2014-05-20T19:46:44Z
R39,51.61834,-124.14296,2014-05-07T00:37:40Z,2014-05-20T19:49:28Z
Ref1,51.61392,-124.15092,2014-04-18T19:03:52Z,2014-05-03T11:53:44Z
Ref1,51.61392,-124.15095,2014-05-03T12:11:01Z,2014-05-20T17:46:20Z
Ref2,51.62342,-124.14276,2014-04-18T23:37:22Z,2014-05-03T11:53:44Z
Ref2,51.62342,-124.14277,2014-05-03T12:11:01Z,2014-05-20T22:21:18Z
Ref3,51.62125,-124.14451,2014-04-19T18:38:38Z,2014-05-03T11:53:44Z
Ref3,51.62124,-124.14452,2014-05-03T12:11:01Z,2014-05-20T21:53:14Z
Ref4,51.61831,-124.14814,2014-04-19T17:34:57Z,2014-05-03T11:53:44Z
Ref4,51.61831,-124.14811,2014-05-03T12:11:01Z,2014-05-20T21:26:31Z
Ref5,51.62606,-124.14217,2014-04-18T09:30:00Z,2014-05-03T11:53:44Z
Ref5,51.62607,-124.14218,2014-05-03T12:11:01Z,2014-05-20T22:56:53Z
Ref6,51.61628,-124.14602,2014-04-22T17:37:21Z,2014-05-03T11:53:44Z
Ref6,51.61627,-124.14605,2014-05-03T12:11:01Z,2014-05-20T20:24:16Z
